time,positive,value,forecast,prev
2024-12-06T16:30:00+03:00,true,227K,202K,36K
2024-11-01T15:30:00+03:00,false,12K,106K,223K
2024-10-04T15:30:00+03:00,true,254K,147K,159K
2024-09-06T15:30:00+03:00,false,142K,164K,89K
2024-08-02T15:30:00+03:00,false,114K,176K,179K
2024-07-05T15:30:00+03:00,true,206K,191K,218K
2024-06-07T15:30:00+03:00,true,272K,182K,165K
2024-05-03T15:30:00+03:00,false,175K,238K,315K
2024-04-05T15:30:00+03:00,true,303K,212K,270K
2024-03-08T16:30:00+03:00,true,275K,198K,229K
2024-02-02T16:30:00+03:00,true,353K,187K,333K
2024-01-05T16:30:00+03:00,true,216K,170K,173K
2023-12-08T16:30:00+03:00,true,199K,180K,150K
2023-11-03T15:30:00+03:00,false,150K,180K,297K
2023-10-06T15:30:00+03:00,true,336K,170K,227K
2023-09-01T15:30:00+03:00,true,187K,170K,157K
2023-08-04T15:30:00+03:00,false,187K,200K,185K
2023-07-07T15:30:00+03:00,false,209K,225K,306K
2023-06-02T15:30:00+03:00,true,339K,180K,294K
2023-05-05T15:30:00+03:00,true,253K,180K,165K
2023-04-07T15:30:00+03:00,false,236K,239K,326K
2023-03-10T16:30:00+03:00,true,311K,205K,504K
2023-02-03T16:30:00+03:00,true,517K,185K,260K
2023-01-06T16:30:00+03:00,true,223K,200K,256K
2022-12-02T16:30:00+03:00,true,263K,200K,284K
2022-11-04T15:30:00+03:00,true,261K,200K,315K
2022-10-07T15:30:00+03:00,true,263K,250K,315K
2022-09-02T15:30:00+03:00,true,315K,300K,526K
2022-08-05T15:30:00+03:00,true,528K,250K,398K
2022-07-08T15:30:00+03:00,true,372K,268K,384K
2022-06-03T15:30:00+03:00,true,390K,325K,436K
2022-05-06T15:30:00+03:00,true,428K,391K,428K
2022-04-01T15:30:00+03:00,false,431K,490K,750K
2022-03-04T16:30:00+03:00,true,678K,400K,481K
2022-02-04T16:30:00+03:00,true,467K,150K,510K
2022-01-07T16:30:00+03:00,false,199K,400K,249K
2021-12-03T16:30:00+03:00,false,210K,550K,546K
2021-11-05T15:30:00+03:00,true,531K,450K,312K
2021-10-08T15:30:00+03:00,false,194K,500K,366K
2021-09-03T15:30:00+03:00,false,235K,750K,1.053K
2021-08-06T15:30:00+03:00,true,943K,870K,938K
2021-07-02T15:30:00+03:00,true,850K,700K,583K
2021-06-04T15:30:00+03:00,false,559K,650K,278K
2021-05-07T15:30:00+03:00,false,266K,978K,770K
2021-04-02T15:30:00+03:00,true,916K,647K,468K
2021-03-05T16:30:00+03:00,true,379K,182K,166K
2021-02-05T16:30:00+03:00,false,49K,50K,-227K
2021-01-08T16:30:00+03:00,false,-140K,71K,336K
2020-12-04T16:30:00+03:00,false,245K,469K,610K
2020-11-06T16:30:00+03:00,true,638K,600K,672K
2020-10-02T15:30:00+03:00,false,661K,850K,1.489K
2020-09-04T15:30:00+03:00,false,1.371K,1.400K,1.734K
2020-08-07T15:30:00+03:00,true,1.763K,1.600K,4.791K
2020-07-02T15:30:00+03:00,true,4.800K,3.000K,2.699K
2020-06-05T15:30:00+03:00,true,2.509K,-8.000K,-20.687K
2020-05-08T15:30:00+03:00,true,-20.537K,-22.000K,-870K
2020-04-03T15:30:00+03:00,false,-701K,-100K,275K
2020-03-06T15:30:00+03:00,true,273K,175K,273K
2020-02-07T16:30:00+03:00,true,225K,160K,147K
2020-01-10T16:30:00+03:00,false,145K,164K,256K
2019-12-06T16:30:00+03:00,true,266K,186K,156K
2019-11-01T15:30:00+03:00,true,128K,89K,180K
2019-10-04T15:30:00+03:00,false,136K,140K,168K
2019-09-06T15:30:00+03:00,false,130K,160K,159K
2019-08-02T15:30:00+03:00,true,164K,164K,193K
2019-07-05T15:30:00+03:00,true,224K,160K,72K
2019-06-07T15:30:00+03:00,false,75K,185K,224K
2019-05-03T15:30:00+03:00,true,263K,181K,189K
2019-04-05T15:30:00+03:00,true,196K,175K,33K
2019-03-08T16:30:00+03:00,false,20K,181K,311K
2019-02-01T16:30:00+03:00,true,304K,165K,222K
2019-01-04T16:30:00+03:00,true,312K,178K,176K
2018-12-07T16:30:00+03:00,false,155K,200K,237K
2018-11-02T15:30:00+03:00,true,250K,193K,118K
2018-10-05T15:30:00+03:00,false,134K,185K,270K
2018-09-07T15:30:00+03:00,true,201K,191K,147K
2018-08-03T15:30:00+03:00,false,157K,193K,248K
2018-07-06T15:30:00+03:00,true,213K,200K,244K
2018-06-01T15:30:00+03:00,true,223K,189K,159K
2018-05-04T15:30:00+03:00,false,164K,189K,135K
2018-04-06T15:30:00+03:00,false,103K,193K,326K
2018-03-09T16:30:00+03:00,true,313K,200K,239K
2018-02-02T16:30:00+03:00,true,200K,184K,160K
2018-01-05T16:30:00+03:00,false,148K,190K,252K
2017-12-08T16:30:00+03:00,true,228K,200K,244K
2017-11-03T15:30:00+03:00,false,261K,310K,18K
2017-10-06T15:30:00+03:00,false,-33K,90K,169K
2017-09-01T15:30:00+03:00,false,156K,180K,189K
2017-08-04T15:30:00+03:00,true,209K,183K,231K
2017-07-07T15:30:00+03:00,true,222K,179K,152K
2017-06-02T15:30:00+03:00,false,138K,185K,174K
2017-05-05T15:30:00+03:00,true,211K,185K,79K
2017-04-07T15:30:00+03:00,false,98K,180K,219K
2017-03-10T16:30:00+03:00,true,235K,200K,238K
2017-02-03T16:30:00+03:00,true,227K,175K,157K
2017-01-06T16:30:00+03:00,false,156K,178K,204K
2016-12-02T16:30:00+03:00,true,178K,175K,142K
2016-11-04T15:30:00+03:00,false,161K,175K,191K
2016-10-07T15:30:00+03:00,false,156K,175K,167K
2016-09-02T15:30:00+03:00,false,151K,180K,275K
2016-08-05T15:30:00+03:00,true,255K,180K,292K
2016-07-08T15:30:00+03:00,true,287K,175K,11K
2016-06-03T15:30:00+03:00,false,38K,164K,123K
2016-05-06T15:30:00+03:00,false,160K,202K,208K
2016-04-01T15:30:00+03:00,true,215K,205K,245K
2016-03-04T16:30:00+03:00,true,242K,190K,172K
2016-02-05T16:30:00+03:00,false,151K,190K,262K
2016-01-08T16:30:00+03:00,true,292K,200K,252K
2015-12-04T16:30:00+03:00,true,211K,200K,298K
2015-11-06T16:30:00+03:00,true,271K,180K,137K
2015-10-02T15:30:00+03:00,false,142K,203K,136K
2015-09-04T15:30:00+03:00,false,173K,220K,245K
2015-08-07T15:30:00+03:00,false,215K,223K,231K
2015-07-02T15:30:00+03:00,false,223K,230K,254K
2015-06-05T15:30:00+03:00,true,280K,225K,221K
2015-05-08T15:30:00+03:00,false,223K,224K,85K
2015-04-03T15:30:00+03:00,false,126K,245K,264K
2015-03-06T16:30:00+03:00,true,295K,240K,239K
2015-02-06T16:30:00+03:00,true,257K,234K,329K
2015-01-09T16:30:00+03:00,true,252K,240K,353K
2014-12-05T16:30:00+03:00,true,321K,225K,243K
2014-11-07T16:30:00+03:00,false,214K,231K,256K
2014-10-03T15:30:00+04:00,true,248K,215K,180K
2014-09-05T15:30:00+04:00,false,142K,225K,212K
2014-08-01T15:30:00+04:00,false,209K,233K,298K
2014-07-03T15:30:00+04:00,true,288K,212K,224K
2014-06-06T15:30:00+04:00,false,217K,218K,282K
